id,car_type,fault,description,solution,category,difficulty
110,بيجو 301,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع سكودا أوكتافيا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,صعب
111,فورد فوكس,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع سكودا أوكتافيا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
112,نيسان صني,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع سكودا أوكتافيا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
113,هيونداي إلنترا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع شيفروليه أوبترا.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,متوسط
114,فورد فوكس,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع تويوتا كورولا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
115,شيفروليه أوبترا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع سكودا أوكتافيا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,صعب
116,فورد فوكس,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع كيا سيراتو.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
117,كيا سيراتو,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع كيا سيراتو.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
118,نيسان صني,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع بيجو 301.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,صعب
119,نيسان صني,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع كيا سيراتو.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
120,فورد فوكس,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع كيا سيراتو.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
121,نيسان صني,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع بيجو 301.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,متوسط
122,سكودا أوكتافيا,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع سكودا أوكتافيا.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
123,رينو لوجان,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع نيسان صني.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,متوسط
124,فورد فوكس,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع نيسان صني.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
125,فورد فوكس,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع فورد فوكس.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
126,فورد فوكس,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع نيسان صني.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
127,ميتسوبيشي لانسر,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع سكودا أوكتافيا.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
128,نيسان صني,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع ميتسوبيشي لانسر.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,متوسط
129,هيونداي إلنترا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع ميتسوبيشي لانسر.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,صعب
130,كيا سيراتو,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع كيا سيراتو.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
131,بيجو 301,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع ميتسوبيشي لانسر.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,صعب
132,رينو لوجان,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع بيجو 301.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,سهل
133,ميتسوبيشي لانسر,الأنوار مش شغالة,السواق لاحظ إن الأنوار مش شغالة والعربية من نوع ميتسوبيشي لانسر.,"افحص الفيوزات، لو فيوز محروق غيره. لو تمام، ممكن السلك مقطوع أو السويتش بايظ.",كهربا,سهل
134,تويوتا كورولا,العربية مش بتدور,السواق لاحظ إن العربية مش بتدور والعربية من نوع بيجو 301.,"جرب تشوف البطارية، لو ضعيفة اشحنها أو غيرها. لو البطارية تمام، بص على سلك السالب يمكن فاكك.",كهربا,سهل
135,تويوتا كورولا,الزمور مش شغال,السواق لاحظ إن الزمور مش شغال والعربية من نوع بيجو 301.,"افحص الفيوز بتاع الزمور، وبعدها جرب توصله مباشر بالبطارية تشوف بيشتغل ولا لأ.",كهربا,صعب
